Date,Open,High,Low,Close,Volume
2020-01-02,294.9130269972677,296.14358388648566,293.9923834001532,296.1253356933594,59151200
2020-01-03,292.74356586892327,295.0041439336054,292.688876931802,293.8829650878906,77709700
2020-01-06,292.1328118215423,295.08615327203825,292.0143098616565,295.0041198730469,55653900
2020-01-07,294.43897268463854,294.9129805533922,293.7279886988713,294.1746520996094,40496400
2020-01-08,294.3660894233574,296.95480128822834,294.1199891894408,295.74249267578125,68296000
2020-01-09,297.30119760730037,297.82077038824355,296.71781178644477,297.7478332519531,48473300
2020-01-10,298.3312381801406,298.4861809242892,296.42616567870095,296.8910217285156,53029300
2020-01-13,297.510801872737,298.94186605271307,297.082386683004,298.9327697753906,47086800
2020-01-14,298.49517959741576,299.54342106499274,297.92091807745555,298.4769592285156,62832800
2020-01-15,298.38587734482564,299.90809914567166,298.30384393795646,299.15155029296875,72056600
2020-01-16,300.5278990481638,301.63995361328125,300.30001924233943,301.63995361328125,54050300
2020-01-17,302.35097758583424,302.7884890679203,301.5761805798231,302.578857421875,95846000
2020-01-21,301.6217259743135,302.78846954692693,301.5488166711206,301.986328125,77742400
2020-01-22,302.843097223155,303.49029581337896,301.8677929262478,302.0227355957031,48914900
2020-01-23,301.37570973553994,302.7794576149532,300.2636547848771,302.3692626953125,51963000
2020-01-24,303.02552540689584,303.1075588185603,298.3949910655985,299.68023681640625,87578400
2020-01-27,294.44811064824233,296.35318285602233,294.1108529210448,294.87652587890625,84062500
2020-01-28,296.298487210109,298.84163406721996,294.9676767051918,297.9665832519531,63834000
2020-01-29,299.32471133178075,299.55259115613137,297.5198931086739,297.7204284667969,53888900
2020-01-30,295.6603342582397,298.89624388865093,294.9129097062482,298.68658447265625,75491800
2020-01-31,298.0668193889295,298.22178991387807,292.3516032332454,293.26312255859375,113845600
2020-02-03,294.73979049796515,297.30115767312014,294.6212885304359,295.441650390625,69083000
2020-02-04,299.0421238964606,300.8104734483571,298.723086598825,299.94451904296875,62573200
2020-02-05,302.8704711762649,303.61792358805616,301.41206272649225,303.40826416015625,65951100
2020-02-06,304.3654472195234,304.62067153969036,303.35364621707834,304.42926025390625,50359700
2020-02-07,303.37183913632214,304.4383010658972,302.2597845544811,302.80670166015625,64139400
2020-02-10,301.92253597033135,305.13107376686384,301.88606741089336,305.0672607421875,42070000
2020-02-11,306.41630901268127,307.20020220152,305.06725053223005,305.595947265625,54864500
2020-02-12,307.02712038790895,307.7745731014097,306.6625181282939,307.56494140625,43992700
2020-02-13,306.1428600443528,308.20290257264736,305.8694153801374,307.2366943359375,54501900
2020-02-14,307.64690946641167,307.8474448392001,306.4528213248784,307.72894287109375,64582200
2020-02-18,306.7353777212436,307.79274347896046,305.550385905375,306.9359130859375,57226200
2020-02-19,307.9021483533661,309.077988360176,307.6195795625174,308.4034729003906,48814700
2020-02-20,307.8565243216202,308.67691395841035,304.15575813081296,307.1364440917969,74163400
2020-02-21,305.78745621324725,306.0973695137125,303.15315143324005,303.9735412597656,113788200
2020-02-24,294.5483849080448,304.0464012409805,292.8164758374308,293.89208984375,161088400
2020-02-25,295.27766705130574,295.8883696171643,284.1115517394657,284.9866027832031,218913200
2020-02-26,286.3811587759355,289.9634233462724,283.2090890630601,283.93829345703125,194773800
2020-02-27,278.43272007694435,283.99299421889395,271.1861572265625,271.1861572265625,284353500
2020-02-28,263.15566832306206,271.5325340386913,260.27526361074985,270.0467529296875,384975800
2020-03-02,271.8242693392627,281.80542071822526,268.40607062281964,281.7416076660156,238703600
2020-03-03,282.1152700822015,286.07126116142535,271.24084970802795,273.6745910644531,300139100
2020-03-04,279.0342862432625,285.3967010302959,276.4911395839047,285.17791748046875,176613400
