Date,Open,High,Low,Close,Volume
2020-01-02,150.0902475068035,151.93352453696647,149.66487810348934,151.8295440673828,22622100
2020-01-03,149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200
2020-01-06,148.48324631955307,150.392698754351,147.94443465072618,150.32652282714844,20813700
2020-01-07,150.60071074881336,150.93154722601824,148.71016714066076,148.9559326171875,21634100
2020-01-08,150.2320638417951,151.99973219349283,149.30570137096382,151.32858276367188,27746500
2020-01-09,152.98275253418123,153.34196035835663,152.21708484471264,153.2190704345703,21385000
2020-01-10,153.9091751273673,154.28727811161113,152.35891539033636,152.51016235351562,20725900
2020-01-13,152.90714658550698,154.3723206204449,152.43451073060453,154.34396362304688,21626500
2020-01-14,154.4479955666148,154.6465090382684,152.86939301592614,153.2569580078125,23477400
2020-01-15,153.7201159716805,154.96788183722586,153.67286391435027,154.2494659423828,21417900
2020-01-16,155.35543366341506,157.14199687545099,155.0529397493098,157.07582092285156,23865400
2020-01-17,158.2573744405716,158.3046409067749,156.37627870580366,157.95489501953125,34371700
2020-01-21,157.55788307477562,158.98525260050442,157.32156514521276,157.3877410888672,29517200
2020-01-22,158.2384898999051,158.3235753219564,156.61262128751815,156.63153076171875,24138800
2020-01-23,157.09469505443082,157.6713113277231,156.22504688259176,157.59568786621094,19680800
2020-01-24,158.34249802467247,158.36140750217533,155.44996818605821,156.00767517089844,24918100
2020-01-27,152.33055036956728,154.43851694569852,151.4325450114777,153.39871215820312,32078100
2020-01-28,154.81662932456064,156.68826363216436,154.14549435848608,156.40469360351562,24899900
2020-01-29,158.65445433777757,159.5146553483084,156.6221252391188,158.843505859375,34754500
2020-01-30,164.52453468683692,164.52453468683692,161.44293985569806,163.32403564453125,51597500
2020-01-31,162.78526860838573,162.9648581406356,160.29919907352217,160.9136199951172,36142700
2020-02-03,161.10266690413363,164.94993007628167,161.07430990386203,164.8365020751953,30107000
2020-02-04,167.44540854870948,170.7538591072496,166.6608313996974,170.26231384277344,36433300
2020-02-05,173.9583748825606,174.11906936388917,168.64595177807354,170.0543975830078,39186300
2020-02-06,171.06581980124434,173.75984990152529,170.20561909708994,173.5802459716797,27751400
2020-02-07,172.8429581987189,175.47081270658518,172.4931978169128,173.82603454589844,33529100
2020-02-10,173.53297073949096,178.50509441167975,173.2210293650427,178.3727569580078,35844300
2020-02-11,180.21606177076302,180.2633282452073,173.45737421261373,174.34593200683594,53159900
2020-02-12,175.4235169852956,175.67874437299267,171.89765772024018,174.60113525390625,47062900
2020-02-13,173.0603579564026,176.03795827229686,172.86184453761513,173.6558837890625,35295800
2020-02-14,173.22106955093307,175.26286024443658,172.65390066150297,175.20614624023438,23149500
